,age,worksalary_class,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary_class
0,39,Civil_servant,77516.0,Graduate,13,Single,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,<=50K
1,50,Self_employed,83311.0,Graduate,13,Married,Exec-managerial,Husband,White,Male,0,0,18,United-States,<=50K
2,38,Private,215646.0,Secondary_edu,9,Unmarried,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
3,53,Private,234721.0,Primary_education,7,Married,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
4,28,Private,338409.0,Graduate,13,Married,Prof-specialty,Wife,Black,Female,0,0,40,Others,<=50K
5,37,Private,284582.0,Post_Grad,14,Married,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
6,49,Private,160187.0,Primary_education,5,Married,Other-service,Not-in-family,Black,Female,0,0,18,Others,<=50K
7,52,Self_employed,209642.0,Secondary_edu,9,Married,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
8,31,Private,45781.0,Post_Grad,14,Single,Prof-specialty,Not-in-family,White,Female,5013,0,50,United-States,>50K
9,42,Private,159449.0,Graduate,13,Married,Exec-managerial,Husband,White,Male,5013,0,40,United-States,>50K
10,37,Private,280464.0,Secondary_edu,10,Married,Exec-managerial,Husband,Black,Male,0,0,60,United-States,>50K
11,30,Civil_servant,141297.0,Graduate,13,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Others,>50K
12,23,Private,122272.0,Graduate,13,Single,Adm-clerical,Own-child,White,Female,0,0,30,United-States,<=50K
13,32,Private,205019.0,Secondary_edu,12,Single,Sales,Not-in-family,Black,Male,0,0,50,United-States,<=50K
14,40,Private,121772.0,Secondary_edu,11,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
15,34,Private,245487.0,Primary_education,5,Married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Others,<=50K
